primary_key,id_estacao,data_medicao,altura_agua,data_particao
2_2024-03-15 15:00:00,2,2024-03-15T15:00:00,0.34,2024-03-15
2_2024-03-15 16:00:00,2,2024-03-15T16:00:00,0.34,2024-03-15
2_2024-03-15 14:15:00,2,2024-03-15T14:15:00,0.34,2024-03-15
2_2024-03-15 18:30:00,2,2024-03-15T18:30:00,0.34,2024-03-15
2_2024-03-15 18:45:00,2,2024-03-15T18:45:00,0.34,2024-03-15
2_2024-03-15 18:15:00,2,2024-03-15T18:15:00,0.34,2024-03-15
2_2024-03-15 19:00:00,2,2024-03-15T19:00:00,0.34,2024-03-15
2_2024-03-18 18:15:00,2,2024-03-18T18:15:00,,2024-03-18
2_2024-03-18 01:00:00,2,2024-03-18T01:00:00,,2024-03-18
2_2024-03-18 04:00:00,2,2024-03-18T04:00:00,,2024-03-18
2_2024-03-18 06:45:00,2,2024-03-18T06:45:00,,2024-03-18
2_2024-03-18 07:45:00,2,2024-03-18T07:45:00,,2024-03-18
2_2024-03-18 10:00:00,2,2024-03-18T10:00:00,,2024-03-18
2_2024-03-18 08:15:00,2,2024-03-18T08:15:00,,2024-03-18
2_2024-03-18 06:00:00,2,2024-03-18T06:00:00,,2024-03-18
2_2024-03-18 09:30:00,2,2024-03-18T09:30:00,,2024-03-18
2_2024-03-18 01:45:00,2,2024-03-18T01:45:00,,2024-03-18
2_2024-03-18 07:15:00,2,2024-03-18T07:15:00,,2024-03-18
2_2024-03-18 00:00:00,2,2024-03-18T00:00:00,,2024-03-18
2_2024-03-18 04:30:00,2,2024-03-18T04:30:00,,2024-03-18
2_2024-03-18 02:15:00,2,2024-03-18T02:15:00,,2024-03-18
2_2024-03-18 02:45:00,2,2024-03-18T02:45:00,,2024-03-18
2_2024-03-18 02:30:00,2,2024-03-18T02:30:00,,2024-03-18
2_2024-03-18 07:00:00,2,2024-03-18T07:00:00,,2024-03-18
2_2024-03-18 03:00:00,2,2024-03-18T03:00:00,,2024-03-18
2_2024-03-18 09:45:00,2,2024-03-18T09:45:00,,2024-03-18
2_2024-03-18 03:15:00,2,2024-03-18T03:15:00,,2024-03-18
2_2024-03-18 05:00:00,2,2024-03-18T05:00:00,,2024-03-18
2_2024-03-18 04:45:00,2,2024-03-18T04:45:00,,2024-03-18
2_2024-03-18 01:15:00,2,2024-03-18T01:15:00,,2024-03-18
2_2024-03-18 05:45:00,2,2024-03-18T05:45:00,,2024-03-18
2_2024-03-18 08:45:00,2,2024-03-18T08:45:00,,2024-03-18
2_2024-03-18 00:30:00,2,2024-03-18T00:30:00,,2024-03-18
2_2024-03-18 00:45:00,2,2024-03-18T00:45:00,,2024-03-18
2_2024-03-18 05:15:00,2,2024-03-18T05:15:00,,2024-03-18
2_2024-03-18 04:15:00,2,2024-03-18T04:15:00,,2024-03-18
2_2024-03-18 02:00:00,2,2024-03-18T02:00:00,,2024-03-18
2_2024-03-18 07:30:00,2,2024-03-18T07:30:00,,2024-03-18
2_2024-03-18 08:30:00,2,2024-03-18T08:30:00,,2024-03-18
2_2024-03-18 03:30:00,2,2024-03-18T03:30:00,,2024-03-18
2_2024-03-18 09:00:00,2,2024-03-18T09:00:00,,2024-03-18
2_2024-03-18 01:30:00,2,2024-03-18T01:30:00,,2024-03-18
2_2024-03-18 09:15:00,2,2024-03-18T09:15:00,,2024-03-18
2_2024-03-18 05:30:00,2,2024-03-18T05:30:00,,2024-03-18
2_2024-03-18 06:15:00,2,2024-03-18T06:15:00,,2024-03-18
2_2024-03-18 08:00:00,2,2024-03-18T08:00:00,,2024-03-18
2_2024-03-18 06:30:00,2,2024-03-18T06:30:00,,2024-03-18
2_2024-03-18 00:15:00,2,2024-03-18T00:15:00,,2024-03-18
2_2024-03-18 03:45:00,2,2024-03-18T03:45:00,,2024-03-18
2_2024-03-18 21:45:00,2,2024-03-18T21:45:00,0.33,2024-03-18
2_2024-03-18 20:30:00,2,2024-03-18T20:30:00,0.33,2024-03-18
2_2024-03-18 20:45:00,2,2024-03-18T20:45:00,0.33,2024-03-18
2_2024-03-18 21:00:00,2,2024-03-18T21:00:00,0.33,2024-03-18
2_2024-03-18 20:15:00,2,2024-03-18T20:15:00,0.33,2024-03-18
2_2024-03-18 19:45:00,2,2024-03-18T19:45:00,0.33,2024-03-18
2_2024-03-18 20:00:00,2,2024-03-18T20:00:00,0.33,2024-03-18
2_2024-03-18 19:30:00,2,2024-03-18T19:30:00,0.33,2024-03-18
2_2024-03-18 19:15:00,2,2024-03-18T19:15:00,0.33,2024-03-18
2_2024-03-18 18:30:00,2,2024-03-18T18:30:00,0.33,2024-03-18
2_2024-03-18 19:00:00,2,2024-03-18T19:00:00,0.33,2024-03-18
2_2024-03-18 18:45:00,2,2024-03-18T18:45:00,0.33,2024-03-18
2_2024-03-18 17:30:00,2,2024-03-18T17:30:00,0.33,2024-03-18
2_2024-03-18 18:00:00,2,2024-03-18T18:00:00,0.33,2024-03-18
2_2024-03-18 17:45:00,2,2024-03-18T17:45:00,0.33,2024-03-18
2_2024-03-18 17:15:00,2,2024-03-18T17:15:00,0.33,2024-03-18
2_2024-03-18 16:15:00,2,2024-03-18T16:15:00,0.33,2024-03-18
2_2024-03-18 17:00:00,2,2024-03-18T17:00:00,0.33,2024-03-18
2_2024-03-18 16:30:00,2,2024-03-18T16:30:00,0.33,2024-03-18
2_2024-03-18 16:45:00,2,2024-03-18T16:45:00,0.33,2024-03-18
2_2024-03-18 15:30:00,2,2024-03-18T15:30:00,0.33,2024-03-18
2_2024-03-18 15:15:00,2,2024-03-18T15:15:00,0.33,2024-03-18
2_2024-03-18 14:45:00,2,2024-03-18T14:45:00,0.33,2024-03-18
2_2024-03-18 14:30:00,2,2024-03-18T14:30:00,0.33,2024-03-18
2_2024-03-18 15:45:00,2,2024-03-18T15:45:00,0.33,2024-03-18
2_2024-03-18 14:15:00,2,2024-03-18T14:15:00,0.33,2024-03-18
2_2024-03-18 15:00:00,2,2024-03-18T15:00:00,0.33,2024-03-18
2_2024-03-18 16:00:00,2,2024-03-18T16:00:00,0.33,2024-03-18
2_2024-03-18 13:30:00,2,2024-03-18T13:30:00,0.33,2024-03-18
2_2024-03-18 13:45:00,2,2024-03-18T13:45:00,0.33,2024-03-18
2_2024-03-18 14:00:00,2,2024-03-18T14:00:00,0.33,2024-03-18
2_2024-03-18 21:15:00,2,2024-03-18T21:15:00,0.34,2024-03-18
2_2024-03-18 13:15:00,2,2024-03-18T13:15:00,0.34,2024-03-18
2_2024-03-18 12:15:00,2,2024-03-18T12:15:00,0.34,2024-03-18
2_2024-03-18 12:30:00,2,2024-03-18T12:30:00,0.34,2024-03-18
2_2024-03-18 12:45:00,2,2024-03-18T12:45:00,0.34,2024-03-18
