id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
1,2023-09-29 11:18:00,Regular,LRF4 - Superfície,2023-09-29 11:15:00,2023-09-29 11:18:00,8.4,24.0,25.4,9.5,5.79,2.26,121.0,3.7,0.3,1600,70,0.13,0.132,,0.056,0.05,5.2,<0.1 ,
1,2023-08-07 14:05:00,Regular,LRF5 - Superfície,2023-08-07 14:02:00,2023-08-07 14:05:00,9.27,28.0,25.4,10.8,13.97,5.39,83.0,3.0,0.3,33,2,0.13,0.021,,<0.016,0.3,5,0.1,
1,2022-11-07 14:29:00,Regular,LRF3 - Superfície,2022-11-07 14:27:00,2022-11-07 14:29:00,8.56,21.0,25.4,13,10.37,3.42,104.0,3.6,0.3,540,79,0.12,0.131,,<0.016 ,<0.05 ,4,<0.1 ,
1,2022-11-07 15:36:00,Regular,LRF4 - Superfície,2022-11-07 15:34:00,2022-11-07 15:36:00,8.74,20.0,25.4,13,11.81,3.57,100.0,3.7,0.3,430,79,0.056,0.079,,0.023,<0.05 ,3.2,<0.1 ,
1,2023-09-29 10:58:00,Regular,LRF2 - Superfície,2023-09-29 10:55:00,2023-09-29 10:58:00,8.51,24.0,25.4,9.5,6.55,3.56,111.0,3.7,0.3,350,8,0.1,0.095,,0.048,0.09,3.9,<0.1 ,
1,2024-09-29 10:58:00,Regular,LRF2 - Superfície,2024-09-29 10:55:00,2024-09-29 10:58:00,8.51,24.0,25.4,9.5,6.55,3.56,111.0,3.7,0.3,350,8,0.1,0.095,,0.048,0.09,3.9,<0.1 ,
1,2024-09-29 11:48:00,Regular,LRF5 - Superfície,2024-09-29 11:45:00,2024-09-29 11:48:00,8.58,24.0,25.4,9.5,7.27,6.74,52.0,3.0,0.3,>1.600,79,0.08,0.132,,0.06,0.12,4.6,0.1,
1,2024-08-07 14:05:00,Regular,LRF5 - Superfície,2024-08-07 14:02:00,2024-08-07 14:05:00,9.27,28.0,25.4,10.8,13.97,5.39,83.0,3.0,0.3,33,2,0.13,0.021,,<0.016,0.3,5,0.1,
1,2022-10-10  13:00:00,Regular,LRF5 - Superfície,2022-10-10  13:00:00,2022-10-10  13:00:00,8.52,27.0,25.4,13.45,7.48,2.93,94.0,3.0,0.3,1700,70,0.245,0.081,,<0.016 ,<0.05 ,<1.0 ,<0.1 ,
1,2023-09-29 11:48:00,Regular,LRF5 - Superfície,2023-09-29 11:45:00,2023-09-29 11:48:00,8.58,24.0,25.4,9.5,7.27,6.74,52.0,3.0,0.3,>1.600,79,0.08,0.132,,0.06,0.12,4.6,0.1,
1,2024-09-29 11:18:00,Regular,LRF4 - Superfície,2024-09-29 11:15:00,2024-09-29 11:18:00,8.4,24.0,25.4,9.5,5.79,2.26,121.0,3.7,0.3,1600,70,0.13,0.132,,0.056,0.05,5.2,<0.1 ,
